rating,Cuenta de rating,,,,,,,,,
66 min,1,,,,,,,,rating,Cuenta de rating
74 min,1,,,,,,,,66 min,1
84 min,1,,,,,,,,74 min,1
G,41,,,,,,,,84 min,1
NC-17,3,,,,,,,,NC-17,3
NR,80,,,,,,,,UR,3
PG,287,,,,,,,,TV-Y7-FV,6
PG-13,490,,,,,,,,G,41
R,799,,,,,,,,NR,80
TV-14,2160,,,,,,,,TV-G,220
TV-G,220,,,,,,,,PG,287
TV-MA,3207,,,,,,,,TV-Y,307
TV-PG,863,,,,,,,,TV-Y7,334
TV-Y,307,,,,,,,,PG-13,490
TV-Y7,334,,,,,,,,R,799
TV-Y7-FV,6,,,,,,,,TV-PG,863
UR,3,,,,,,,,TV-14,2160
(en blanco),,,,,,,,,TV-MA,3207
,,,,,,,,,(en blanco),
